"分类","归档路径","内容名称","类型","大小KB","行数"
"根目录项目文档","根目录项目文档\TOEIC项目验收记录.md","TOEIC 项目验收记录",".md","17.71","134"
"根目录项目文档","根目录项目文档\TOEIC项目设计文档.md","TOEIC 项目设计文档",".md","24.7","770"
"根目录项目文档","根目录项目文档\TOEIC项目启动说明.md","TOEIC 项目启动说明",".md","9.06","221"
"根目录项目文档","根目录项目文档\TOEIC项目需求规格.md","TOEIC 项目需求规格",".md","19.9","536"
"根目录项目文档","根目录项目文档\TOEIC项目任务拆分.md","TOEIC 项目任务拆分",".md","16.31","521"
"项目过程记录","项目过程记录\AI变更记录.md","AI 变更记录",".md","30.7","310"
"项目过程记录","项目过程记录\项目上下文缓存.md","项目上下文缓存",".md","2.93","48"
"Codex对话归档","Codex对话归档\Codex对话归档说明.md","Codex 对话归档说明",".md","1.93","19"
"Codex对话归档","Codex对话归档\Codex对话Markdown导出说明.md","Codex 对话 Markdown 导出说明",".md","0.51","7"
"Codex对话归档","Codex对话归档\Spec驱动项目启动与MVP实现对话记录.md","Spec 驱动项目启动与 MVP 实现对话记录",".md","115.08","1764"
"Codex对话归档","Codex对话归档\MaaS题目生成测试与后续计划对话记录.md","MaaS 题目生成测试与后续计划对话记录",".md","69.82","1259"
"Codex对话归档","Codex对话归档\公网访问隧道脚本与验收对话记录.md","公网访问、隧道脚本与验收对话记录",".md","34.16","469"
"课堂汇报材料","课堂汇报材料\课堂汇报讲稿备注.md","课堂汇报讲稿备注",".md","6.96","81"
"课堂汇报材料","课堂汇报材料\两人分工演讲稿.md","两人分工演讲稿",".md","15.3","123"
